tahun,wilayah,nama_penyakit,jumlah_penderita
2018,Jakarta Barat,TBC,8285
2018,Jakarta Utara,TBC,5208
2018,Kepulauan Seribu,DBD,8
2018,Jakarta Selatan,DBD,626
2018,Jakarta Timur,DBD,797
2018,Jakarta Pusat,DBD,112
2018,Jakarta Barat,DBD,851
2018,Jakarta Utara,DBD,260
2019,Kepulauan Seribu,Malaria,0
2019,Jakarta Selatan,Malaria,10
2019,Jakarta Timur,Malaria,32
2019,Jakarta Pusat,Malaria,3
2019,Jakarta Barat,Malaria,8
2019,Jakarta Utara,Malaria,5
2019,Kepulauan Seribu,Gastro Entritis,16
2019,Jakarta Selatan,Gastro Entritis,5973
2019,Jakarta Timur,Gastro Entritis,10164
2019,Jakarta Pusat,Gastro Entritis,4221
2019,Jakarta Barat,Gastro Entritis,7599
2019,Jakarta Utara,Gastro Entritis,5581
2019,Kepulauan Seribu,Kolera,0
2019,Jakarta Selatan,Kolera,0
2019,Jakarta Timur,Kolera,0
2019,Jakarta Pusat,Kolera,0
2019,Jakarta Barat,Kolera,0
2019,Jakarta Utara,Kolera,0
2019,Kepulauan Seribu,Kusta,3
2019,Jakarta Selatan,Kusta,107
2019,Jakarta Timur,Kusta,107
2019,Jakarta Pusat,Kusta,197
2019,Jakarta Barat,Kusta,75
2019,Jakarta Utara,Kusta,87
2019,Kepulauan Seribu,TBC,71
2019,Jakarta Selatan,TBC,7859
2019,Jakarta Timur,TBC,12334
2019,Jakarta Pusat,TBC,6428
2019,Jakarta Barat,TBC,7563
2019,Jakarta Utara,TBC,5215
2019,Kepulauan Seribu,DBD,6
2019,Jakarta Selatan,DBD,1976
2019,Jakarta Timur,DBD,3004
2019,Jakarta Pusat,DBD,492
2019,Jakarta Barat,DBD,2305
2019,Jakarta Utara,DBD,922
2020,Kepulauan Seribu,Malaria,0
2020,Jakarta Selatan,Malaria,6
2020,Jakarta Timur,Malaria,41
2020,Jakarta Pusat,Malaria,8
2020,Jakarta Barat,Malaria,4
2020,Jakarta Utara,Malaria,1
2020,Kepulauan Seribu,Gastro Entritis,5
2020,Jakarta Selatan,Gastro Entritis,2313
2020,Jakarta Timur,Gastro Entritis,3768
2020,Jakarta Pusat,Gastro Entritis,1601
2020,Jakarta Barat,Gastro Entritis,4056
2020,Jakarta Utara,Gastro Entritis,3129
2020,Kepulauan Seribu,Kolera,0
2020,Jakarta Selatan,Kolera,53
2020,Jakarta Timur,Kolera,15
2020,Jakarta Pusat,Kolera,0
2020,Jakarta Barat,Kolera,89
2020,Jakarta Utara,Kolera,5
2020,Kepulauan Seribu,Kusta,0
2020,Jakarta Selatan,Kusta,87
2020,Jakarta Timur,Kusta,75
2020,Jakarta Pusat,Kusta,89
2020,Jakarta Barat,Kusta,43
2020,Jakarta Utara,Kusta,27
2020,Kepulauan Seribu,TBC,29
2020,Jakarta Selatan,TBC,4462
2020,Jakarta Timur,TBC,6670
2020,Jakarta Pusat,TBC,4207
2020,Jakarta Barat,TBC,4126
2020,Jakarta Utara,TBC,2662
2020,Kepulauan Seribu,DBD,5
2020,Jakarta Selatan,DBD,1020
2020,Jakarta Timur,DBD,1544
2020,Jakarta Pusat,DBD,367
2020,Jakarta Barat,DBD,1266
2020,Jakarta Utara,DBD,542
