kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,Cengkareng,Rawa Buaya,1,1,4,0,0, 5 - 25,21,1,0,0,0,0,0,0,0
Jakarta Barat,Taman Sari,Pinangsia,"001, 002, 003, 004, 007",5,0,0,0, 10 - 50,21,1,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Cilandak Barat,"004, 008, 011",3,3,0,0,50 - 60,21,1,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Cipete Selatan,"001, 007",2,2,75,225,80 - 85,21,1,0,0,0,0,200,2,0
Jakarta Selatan,Cilandak,Pondok Labu,3,1,2,0,425,20 - 100,"19, 20 ",2,0,0,0,0,0,0,0
Jakarta Selatan,Jagakarsa,Lenteng Agung,3,1,2,0,0,20 - 70,2,1,0,0,0,0,0,0,0
Jakarta Selatan,Jagakarsa,Srengseng Sawah,"001, 002",2,2,2,8,30 - 100,2,1,0,0,0,0,0,0,0
Jakarta Selatan,Jagakarsa,Tanjung Barat,4,1,4,0,0,100,21,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,Cipete Utara,6,1,3,0,0,40 - 50,20,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,Petogogan,3,1,1,0,0,80,"20, 22 ",2,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Cipulir,"005, 010",2,3,0,0, 5 - 40,"07, 19",2,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,11,1,1,0,0,20 - 30,19,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,"005, 008",2,2,0,0,80,"19, 21",2,0,0,0,0,0,0,0
Jakarta Selatan,Mampang Prapatan,Bangka,4,1,1,0,0,20 - 30,20,1,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Kalibata,"005, 009",2,12,0,0,30 - 100,"20, 21",2,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Pengadengan,"001, 002",2,3,134,521,20 - 70,"02, 03",2,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Rawajati,"001, 003, 007",3,10,225,675,20 - 100,"02, 03, 21",3,0,0,0,0,0,0,0
Jakarta Selatan,Pasar Minggu,Cilandak Timur,"001, 003",2,2,30,85,30 - 80,19,1,0,0,0,0,30,1,0
Jakarta Selatan,Pasar Minggu,Jatipadang,"002, 003, 004, 005, 006, 008, 009, 010",8,33,10,700,30 - 150,"20, 21, 22",3,0,0,0,0,365,0,0
Jakarta Selatan,Pasar Minggu,Kebagusan,"003, 004, 005, 006, 007, 008",6,23,484,1452,50 - 130,"19, 21",2,0,0,0,0,0,2,0
Jakarta Selatan,Pasar Minggu,Pejaten Barat,"004, 007, 008",3,11,463,1252,30 - 120,"21, 22",2,0,0,0,0,1222,8,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,"003, 005, 006, 007, 008, 009,010",7,17,413,1584,100 - 250,"02, 21, 22",3,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Bukit Duri,"010, 011, 012",3,20,1201,4362,20 - 80,"02, 03, 21",3,0,0,0,0,0,0,0
