kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,KEC. KALIDERES,KEL. KAMAL,01,1,2,0,0,20 cm,tgl. 17,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. JATI PADANG,"02, 04, 05, 06, 09",5,10,0,0,10 s/d 40 cm,tgl. 03,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. RAGUNAN,"07, 08",2,2,0,0,10 s/d 30 cm,tgl. 03,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. CILANDAK TIMUR,"01, 03, 04, 09, 13",5,4,7,20,10 s/d 120 cm,"tgl. 03, 20",0,0,0,0,9,1,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. PEJATEN TIMUR,"05, 06, 07, 08",4,5,0,0,10 s/d 50 cm,tgl. 21,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. MAMPANG PRAPATAN,KEL. BANGKA,"01, 02, 03, 04",4,7,20,60,100 s/d 150 cm,tgl. 03,0,0,0,0,60,1,0,0
Jakarta Selatan,KEC. PANCORAN,KEL. DUREN TIGA,"01, 02, 05",3,4,0,0,10 s/d 60 cm,tgl. 03,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PANCORAN,KEL. RAWAJATI,07,1,3,0,0,30 s/d 60 cm,tgl. 21,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PANCORAN,KEL. PENGADEGAN,01,1,1,0,0,10 s/d 50 cm,tgl. 21,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. CILANDAK,KEL. PONDOK LABU,"01, 02, 03, 07",4,4,0,0,10 s/d 80 cm,tgl. 03,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. CILANDAK,KEL. CIPETE SELATAN,"01, 07",2,2,0,0,20 s/d 40 cm,tgl. 03,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. KEBAYORAN BARU,KEL. PETOGOGAN,02,1,4,0,0,40 cm,tgl. 03,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. TEBET,KEL. KEBON BARU,01,1,1,0,0,10 s/d 20 cm,tgl. 21,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"04, 05, 07, 08",4,25,187,636,10 s/d 100 cm,"tgl. 20, 21",0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. BIDARA CINA,"07, 11",2,5,0,0,70 s/d 110 cm,tgl. 21,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. KRAMAT JATI,KEL. CAWANG,"01, 02, 03, 05, 08",5,19,0,0,10 s/d 70 cm,"tgl. 20, 21",0,0,0,0,0,0,0,0
Jakarta Timur,KEC. KRAMAT JATI,KEL. CILILITAN,"06, 07",2,3,0,0,10 s/d 30 cm,tgl. 21,0,0,0,0,0,0,0,0
