kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,CENGKARENG,CENGKARENG BARAT,2,0,0,0,80 cm,"21 - 24
(4 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,CENGKARENG TIMUR,2,0,0,0,30 - 40 cm,"21 - 22
(2 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,KAPUK,14,0,586,1388,80 - 90 cm,"21 - 23
(3 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,3,0,0,0,40 - 100 cm,"21 - 22
(2 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,RAWA BUAYA,10,0,0,0,100 cm,"20 - 24
(5 Hari)",0,0,0,0,272,0,0,0,0
Jakarta Barat,GROGOL PETAMBURAN,WIJAYA KESUMA,1,0,0,0,10 cm,"16
(1 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Barat,KALI DERES,SEMANAN,4,0,0,0,40 cm,"21
(1 Hari)",1,0,0,0,0,0,0,0,0
Jakarta Barat,KALI DERES,TEGAL ALUR,13,0,0,0,50 - 80 cm,"21 - 23
(3 Hari)",0,0,0,0,68,0,0,0,0
Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,1,0,0,0,20 - 70 cm,"26
(1 Hari)",2,0,0,0,0,0,0,0,0
Jakarta Barat,KEBON JERUK,KEDOYA UTARA,4,0,0,0,30 - 60 cm,"21 - 22
(2 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,1,0,0,0,40 cm,"24
(1 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,4,0,0,0,60 cm,"21 - 22
(2 Hari)",0,0,0,0,130,0,0,0,0
Jakarta Barat,TAMAN SARI,GLODOK,1,0,0,0,50 cm,"21
(1 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Pusat,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,2,0,0,0,30 - 70 cm,"21 - 22
(2 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,SERDANG,1,0,0,0,30 - 70 cm,"21 - 22
(2 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Pusat,TANAH ABANG,PETAMBURAN,2,0,0,0,10 - 40 cm,"14, 21
(2 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,CIPETE SELATAN,1,0,0,0,30 - 60 cm,"26
(1 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,PONDOK LABU,2,0,0,0,25 - 50 cm,"24, 26
(2 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,2,0,0,0,20 - 50 cm,"12, 21 - 22, 24
(4 Hari)",0,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,1,0,0,0,40 - 50 cm,"16, 24 - 26
(4 Hari)",0,0,0,0,16,0,0,0,0
