kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,005,1,2,0,0,  5 - 20,"12, 13
",2,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Kelapa Dua,"002, 004, 008",3,2,0,0,  10 - 20,"01, 12, 13
",3,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Kedoya Utara,008,1,4,0,0,  10 - 30,"01
",1,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,Cengkareng Barat,"008, 009, 010, 011,012, 014",6,29,8490,27290,20 - 110,"01, 02, 03, 18",4,0,0,0,0,437,5,0
Jakarta Barat,Cengkareng,Kapuk,"001, 005, 012",3,10,0,0,  5 - 15,01,1,0,0,0,0,0,2,0
Jakarta Barat,Cengkareng,Rawa Buaya,"001, 002, 004, 005, 009, 011",6,13,0,0,30 - 80,"01, 02",2,0,0,0,0,403,5,0
Jakarta Barat,Cengkareng,Kedaung Kaliangke,"001, 005, 008",3,8,0,0,  5 - 15,"01
",1,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,Duri Kosambi,001,1,4,46,122,20 - 30,"01
",1,0,0,0,0,0,1,0
Jakarta Barat,Kembangan,Kembangan Selatan,"001, 009",2,2,20,0,30 - 100,"01, 12, 13
",3,0,0,0,0,0,0,0
Jakarta Barat,Kembangan,Kembangan Utara,"001, 002, 003, 005",4,3,75,215,20 - 100,"01
",1,0,0,0,0,135,2,0
Jakarta Barat,Kalideres,Tegal Alur,"003, 004, 015",3,7,155,407,  15 - 35,"01
",1,0,0,0,0,127,3,0
Jakarta Selatan,Cilandak,Pondok Labu,003,1,2,0,0,60 - 80,"12, 13
",2,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,Petogogan,002,1,1,0,0,  10 - 20 ,"12
",1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Cipulir,010,1,2,30,150,  10 - 100,"12,13
",2,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,011,1,1,30,200,  10 - 80,"12, 13
",2,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,"005, 008",2,7,339,1096,30 - 150,"12, 13
",2,0,0,0,0,48,1,0
Jakarta Selatan,Mampang Prapatan,Tegal Parang,"003, 004, 005",3,14,0,0,35,"16
",1,0,0,0,0,0,0,0
Jakarta Selatan,Mampang Prapatan,Pela Mampang,"005, 011",2,5,0,0,  10 - 20,"01
",1,0,0,0,0,0,0,0
Jakarta Selatan,Mampang Prapatan,Bangka,"003, 004",2,2,0,0,60 - 80,"22, 23
",2,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Pengadengan,"001, 002",2,3,134,521,20 - 70,"05, 08, 12
",3,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Rawajati,"001, 003, 007",3,7,175,525,30 - 120,"05, 08, 11, 12,13, 30",6,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Kalibata,"005, 009",2,5,700,0,200,22,1,0,0,0,0,0,0,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,"003, 005, 006, 007, 008, 010",6,29,790,2556,50 - 300,"05, 08, 10, 12",4,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Bukit Duri,"010, 011, 012",3,20,1201,4362,20 - 150,"08, 12, 10, 11, 12, 13",6,0,0,0,0,34,0,0
Jakarta Selatan,Tebet,Kebon Baru,010,1,3,300,500,30 - 120,"05, 08, 10, 11, 12, 13",6,0,0,0,0,150,0,0
Jakarta Selatan,Tebet,Manggarai,"001, 004",2,6,60,178,79,08,1,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Bidara Cina,"005, 006, 007, 011, 014, 015",6,19,857,2258,50 - 200,"05, 09, 10, 12, 08, 13, 15
",7,0,0,0,0,310,6,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 006, 007, 008",8,24,881,2975,20 - 150,"05, 09, 10, 12, 08, 13",7,0,0,0,0,149,0,0
Jakarta Timur,Kramat Jati,Bale Kambang,"001, 004, 005 ",3,12,191,912,20 - 150,"08
",1,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Cawang,"001, 002, 003, 005, 008, 012",6,26,1469,6257,20 - 250,"05, 08, 10, 11, 12, 13, 15, 18, 30",10,0,0,0,0,248,2,0
Jakarta Timur,Kramat Jati,Cililitan,"005, 006, 007, 016",4,16,202,710,30 - 250,"05, 08, 09, 10, 12, 13, 15, 18, 30",9,0,0,0,0,124,0,0
Jakarta Timur,Makasar,Cipinang Melayu,004,1,1,0,0,65,22,1,0,0,0,0,27,0,0
