kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Utara,CILINCING,ROROTAN,rw 04,1,1,0,0,30 cm,1 maret,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,KAPUK MUARA,rw 01,1,1,0,0,10 cm,"2, 18 maret",0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,"rw 01, 04, 09",3,6,0,0,20 s/d 40 cm,"1, 2, 20 maret",0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,rw 01,1,1,0,0,15 s/d 25 cm,1 maret,0,0,0,0,0,0,0,0
Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,"rw 03, 05",2,4,0,0,10 s/d 30 cm,"2, 20 maret",0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,RAWA BUAYA,"rw 01, 02, 03, 08, 10",5,13,0,0,10 s/d 50 cm,22 maret,0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,CENGKARENG BARAT,"rw 03, 04, 06, 08, 10",5,12,0,0,5 s/d 30 cm,22 maret,0,0,0,0,0,0,0,0
Jakarta Barat,KALIDERES,KALIDERES,rw 03,1,1,0,0,15 cm,22 maret,0,0,0,0,0,0,0,0
Jakarta Barat,KALIDERES,SEMANAN,"rw 01, 03, 04, 10",4,11,0,0,5 s/d 30 cm,22 maret,0,0,0,0,0,0,0,0
Jakarta Barat,PALMERAH,KOTA BAMBU UTARA,rw 04,1,1,0,0,10 cm,22 maret,0,0,0,0,0,0,0,0
Jakarta Barat,PALMERAH,PALMERAH,rw 14,1,1,0,0,20 cm,22 maret,0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,"rw 05, 06, 07, 08, 10",5,10,170,517,10 s/d 160 cm,"1, 2, 16, 25, 26, 27 maret",0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,"rw 03, 13",2,3,0,0,55 s/d 100 cm,16 maret,0,0,0,0,0,0,0,0
Jakarta Selatan,PANCORAN,PENGADEGAN,rw 01,1,1,0,0,90 cm,"1, 28 maret",0,0,0,0,0,0,0,0
Jakarta Selatan,PANCORAN,RAWAJATI,rw 07,1,3,0,0,10 s/d 40 cm,"1, 27 maret",0,0,0,0,0,0,0,0
Jakarta Selatan,PANCORAN,DUREN TIGA,rw 05,1,1,0,0,60 cm,20 maret,0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,KEBON BARU,"rw 05, 06, 10",3,3,0,0,5 s/d 60 cm,"1, 16, 20 maret",0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,BUKIT DURI,rw 12,1,1,0,0,80 cm,1 maret,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,rw 10,1,2,0,0,20 s/d 100 cm,"2, 16, 18, 20 maret",0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,"rw 01, 05, 08",3,7,0,0,10 s/d 115 cm,"2, 16, 17, 20, 28 maret",0,0,0,0,0,0,0,0
Jakarta Selatan,PESANGGRAHAN,BINTARO,"rw 05, 11, 10, 14",4,5,0,0,10 s/d 60 cm,"2, 16, 20 maret",0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,LEBAK BULUS,rw 08,1,1,0,0,70 cm,16 maret,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,CIPETE SELATAN,rw 07,1,1,0,0,15 cm,16 maret,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,PONDOK LABU,"rw 01, 03, 07, 10",4,7,0,0,10 s/d 50 cm,16 maret,0,0,0,0,0,0,0,0
Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,"rw 02, 03, 04",3,4,0,0,20 s/d 40 cm,16 maret,0,0,0,0,0,0,0,0
Jakarta Selatan,MAMPANG PRAPATAN,KUNINGAN BARAT,rw 05,1,3,0,0,40 cm,16 maret,0,0,0,0,0,0,0,0
Jakarta Selatan,JAGAKARSA,CIPEDAK,rw 04,1,1,0,0,70 cm,16 maret,0,0,0,0,0,0,0,0
Jakarta Selatan,SETIABUDI,MENTENG ATAS,"rw 07, 08, 09, 14, 15",5,5,0,0,10 s/d 60 cm,20 maret,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,CIPINANG MUARA,rw 13,1,2,118,456,5 s/d 50 cm,"1, 2, 16 maret ",0,0,0,0,65,1,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,"rw 04, 05, 07, 08",4,25,326,1068,25 s/d 110 cm,"1, 2, 16, 18, 23, 25, 26, 27, 28, 30 maret ",0,0,0,0,186,3,0,0
Jakarta Timur,JATINEGARA,BIDARA CINA,"rw 05, 06, 07, 10, 11",5,12,1711,4838,20 s/d 140 cm,"1, 2, 16, 18, 25, 26, 27, 30 maret ",0,0,0,0,26,3,0,0
Jakarta Timur,KRAMAT JATI,CAWANG,"rw 01, 02, 03, 05, 08, 12",6,15,0,0,10 s/d 115 cm,"1, 2, 16, 23, 25, 26, 27, 28, 30 maret",0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,CILILITAN,"rw 06, 07",2,6,10,43,5 s/d 100 cm,"1, 16, 25, 28 maret",0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,TENGAH,rw 05,1,1,0,0,70 cm,16 maret,0,0,0,0,0,0,0,0
Jakarta Timur,CIPAYUNG,LUBANG BUAYA,rw 12,1,1,0,0,20 cm,1 maret,0,0,0,0,0,0,0,0
Jakarta Timur,CIPAYUNG,PONDOK RANGGON,rw 01,1,1,4,10,20 s/d 80 cm,1 maret,0,0,0,0,10,1,0,0
Jakarta Timur,CIPAYUNG,CILANGKAP,"rw 03, 04, 05, 06",4,5,0,0,10 s/d 40 cm,16 maret,0,0,0,0,0,0,0,0
Jakarta Timur,CAKUNG,CAKUNG TIMUR,"rw 01, 05, 06, 09, 10, 12",6,13,114,207,10 s/d 60 cm,"1, 2 maret",0,0,0,0,39,2,0,0
