kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Urata,CILINCING,CILINCING,RW 09,1,1,0,0,10 cm,13 Agustus,0,0,0,0,0,0,0,0
Jakarta Urata,CILINCING,MARUNDA,RW 07,1,9,0,0,10 s/d 30 cm,25 Agustus,0,0,0,0,0,0,0,0
Jakarta Barat,KALIDERES,TEGAL ALUR,RW 12,1,2,0,0,15 cm,13 Agustus,0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,KAPUK,"RW 02, 03, 05, 10, 12, 15, 16",7,9,0,0,15 s/d 20 cm,13 Agustus,0,0,0,0,0,0,0,0
Jakarta Barat,PALMERAH,KOTA BAMBU UTARA,"RW 06, 07",2,2,0,0,10 s/d 30 cm,18 Agustus,0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,KEBON BARU,RW 06,1,9,0,0,20 s/d 30 cm,13 Agustus,0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,BUKIT DURI,RW 04,1,1,0,0,30 cm,13 Agustus,0,0,0,0,0,0,0,0
Jakarta Selatan,PESANGGRAHAN,BINTARO,RW 01,1,2,0,0,20 cm,13 Agustus,0,0,0,0,0,0,0,0
Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,"RW 03, 04",2,3,0,0,20 s/d 80 cm,13 Agustus,0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,RW 03,1,2,0,0,20 s/d 60 cm,13 Agustus,0,0,0,0,0,0,0,0
Jakarta Pusat,SENEN,PASEBAN,RW 07,1,1,0,0,20 cm,13 Agustus,0,0,0,0,0,0,0,0
Jakarta Pusat,TANAH ABANG,PETAMBURAN,RW 03,1,1,0,0,10 s/d 15 cm,18 Agustus,0,0,0,0,0,0,0,0
