kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,Cengkareng,Kapuk,7,1,1,0,0, 10 - 20 ,"13 
",1,0,0,0,0,0,0,0
Jakarta Barat,Cengkareng,Kedaung Kali Angke,"001, 008",2,2,0,0,20 - 40 ,"13 
",1,0,0,0,0,0,0,0
Jakarta Barat,Grogol Petamburan,Wijaya Kesuma,"004, 005, 010",3,3,0,0,20 - 30 ,"13 
",1,0,0,0,0,0,0,0
Jakarta Barat,Kalideres,Tegal Alur,1,1,3,0,0,20 - 30 ,"13 
",1,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Duri Kepa,3,1,1,0,0,30 - 40 ,"13 
",1,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Kedoya Utara,"001, 005, 007",3,3,0,0, 10 - 30,"13 
",1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,5,1,1,0,0,40 - 50 ,12,1,0,0,0,0,0,0,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,"007, 008",2,2,0,0,20 - 50 ,10,1,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Ulujami,5,1,0,0,0, 10 - 30,12,1,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Bukit Duri,10,1,3,280,1003, 10 - 50,10,1,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Bidara Cina,7,1,5,220,674, 10 - 40,10,1,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 007, 008",7,47,857,2989, 10 - 60,10,1,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Cawang,2,1,2,0,0, 10 - 20,10,1,0,0,0,0,0,0,0
Jakarta Timur,Makasar,Cipinang Melayu,"004, 010",2,0,0,0,20 - 40 ,7,1,0,0,0,0,0,0,0
Jakarta Timur,Matraman,Palmeriem,1,1,0,0,0,20 - 40 ,"7 
",1,0,0,0,0,0,0,0
