kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,KEC. CENGKARENG,KEL. DURI KOSAMBI,RW. 08,1,0,0,0,10 - 30 cm,1 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Barat,KEC. CENGKARENG,KEL. RAWA BUAYA,"RW. 02, RW. 04",2,7,0,0,25 s/d 40 cm,7 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Barat,KEC. KEMBANGAN ,KEL. JOGLO,RW. 01,1,0,0,0,10 s/d 30 cm,7 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Barat,KEC. KEMBANGAN ,KEL. KEMBANGAN UTARA,"RW. 01, RW. 02, RW. 03, RW. 04, RW 09",5,8,5,20,10 s/d 80 cm,7 Mei (1 hari),0,0,0,0,20,1,0,0
Jakarta Barat,KEC. KEMBANGAN ,KEL. KEMBANGAN SELATAN,RW. 03,1,0,0,0,10 s/d 50 cm,7 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Barat,KEC. KEMBANGAN ,KEL. MERUYA SELATAN,RW. 10,1,0,0,0,10 s/d 30 cm,7 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Barat,KEC. PALMERAH,KEL. SLIPI,RW. 03,1,0,0,0,10 s/d 30 cm,7 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Barat,KEC. KEBON JERUK,KEL. KEDOYA SELATAN,RW. 05,1,1,0,0,50 s/d 70 cm,7 Mei (1 hari),0,0,0,0,20,1,0,0
Jakarta Selatan,KEC. CILANDAK,KEL. LEBAK BULUS,"RW. 02, RW. 08",2,0,0,0,10 - 50 cm,"1 Mei (1 hari), 7 Mei (1 hari)",0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. CILANDAK,KEL. PONDOK LABU,"RW. 01, RW. 03, RW. 07, RW. 10",4,11,0,0,5 s/d 120 cm,4 - 5  Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. MAMPANG PRAPATAN,KEL. BANGKA,RW. 04,1,1,0,0,80 cm,1 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. JAGAKARSA,KEL. SRENGSENG SAWAH,RW. 07,1,0,0,0,10 s/d 30 cm,2 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. JAGAKARSA,KEL. CIPEDAK,RW. 05,1,2,0,0,30 cm,4 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. CILANDAK TIMUR,"RW. 01, RW. 03",2,3,0,0,20 s/d 65 cm,4 - 5 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. PEJATEN TIMUR,"RW. 05, RW. 06, RW. 08",3,3,0,0,10 s/d 20 cm,4 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. JATIPADANG,RW. 04,1,1,0,0,20 s/d 40 cm,5 - 6 Mei (2 hari),0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. PONDOK PINANG,RW. 05,1,4,0,0,20 s/d 40 cm,6 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Timur,KEC. CAKUNG,KEL. CAKUNG TIMUR,RW. 12,1,0,0,0,10 s/d 40 cm,1 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Timur,KEC. PASAR REBO,KEL. CIJANTUNG,RW. 01,1,1,0,0,20 s/d 60 cm,2 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"RW. 04, RW. 05, RW. 07, RW. 08",4,25,246,835,5 s/d 110 cm,"2 Mei (1 hari), 4 Mei (1 hari), 6 Mei (1 hari)",0,0,0,0,0,0,0,0
Jakarta Timur,KEC. CIRACAS,KEL. RAMBUTAN,"RW. 02, RW. 03, RW. 06",3,3,0,0,20 s/d 30 cm,2 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Timur,KEC. CIRACAS,KEL. SUSUKAN,"RW. 03, RW. 04",2,2,0,0,30 s/d 40 cm,2 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Timur,KEC. CIRACAS,KEL. CIRACAS,RW 10,1,1,0,0,10 s/d 30 cm,2 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Timur,KEC. MAKASAR,KEL. HALIM PERDANA KUSUMA,"RW. 05, RW. 07",2,0,0,0,5 cm,2 Mei (1 hari),0,0,0,0,0,0,0,0
Jakarta Timur,KEC. KRAMAT JATI,KEL. CAWANG,"RW. 01, RW. 02, RW. 03, RW. 05, RW. 08",5,20,805,2565,5 s/d 60 cm,"4 Mei (1 hari), 5 - 6 Mei (2 hari)",0,0,0,0,0,0,0,0
