kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Pusat,JOHAR BARU,JOHAR BARU,"rw 05, 09, ",2,2,0,0,30 s/d 50 cm,"23, 25  februari",0,0,0,0,0,0,0,0
Jakarta Pusat,JOHAR BARU,KAMPUNG RAWA,rw 06,1,2,0,0,20 cm,23 februari,0,0,0,0,0,0,0,0
Jakarta Pusat,JOHAR BARU,TANAH TINGGI,rw 05,1,1,0,0,30 cm,23 februari,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,GUNUNG SAHARI SELATAN,"rw 04, 09, ",2,2,0,0,20 s/d 100 cm,"2, 8, 23 februari",0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,SERDANG,"rw 06, 01",2,2,0,0,30 cm,23 februari,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,CEMPAKA BARU,"rw 05, 07",2,7,0,0,20 s/d 50 cm,"23, 25  februari",0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,KEMAYORAN,rw 08,1,1,0,0,20 cm,23 februari,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,KEBON KOSONG,"rw 01, 02, 03, 04, 05, 06, 07, 08, 09, 12",10,10,0,0,10 s/d 50 cm,25 februari,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,SUMUR BATU,rw 07,1,1,0,0,10 s/d 50 cm,25 februari,0,0,0,0,0,0,0,0
Jakarta Pusat,SAWAH BESAR,PASAR BARU,"rw 03,  04, 05, 06",4,6,0,0,10 s/d 40,"8, 21, 22, 23 februari",0,0,0,0,450,1,0,0
Jakarta Pusat,SAWAH BESAR,KARANG ANYAR,rw 06,1,1,0,0,20 cm,23 februari,0,0,0,0,0,0,0,0
