kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,RW 09,1,1,0,0,20 s/d 30 cm,tgl. 21 MEI,0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,MERUYA UTARA,RW 06,1,1,0,0,10 cm,tgl. 08 MEI,0,0,0,0,0,0,0,0
Jakarta Selatan,JAGAKARSA,CIGANJUR,"RW 05, 06",2,2,0,0,30 s/d 40 cm,tgl. 06 MEI,0,0,0,0,0,0,0,0
Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,"RW 05, 08",2,8,25,77,20 s/d 100 cm,"tgl. 19, 21 MEI",0,0,0,0,0,0,0,0
Jakarta Selatan,PANCORAN,PENGADEGAN,RW 01,1,1,0,0,10 s/d 100 cm,"tgl. 19, 21 MEI",0,0,0,0,0,0,0,0
Jakarta Selatan,PANCORAN,RAWAJATI,RW 07,1,2,0,0,20 s/d 60 cm,"tgl. 18, 19, 21 MEI",0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,JATI PADANG,RW 06,1,3,0,0,20 s/d 50 cm,"tgl. 06, 10 MEI",0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,"RW 03, 05, 06, 07, 08, 09",6,7,141,456,50 cm s/d 150 cm,"tgl. 10, 18, 19, 21 MEI",0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,KEBON BARU,RW 10,1,1,0,0,15 cm s/d 65 cm,"tgl. 18, 19, 21 MEI",0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,MANGGARAI,RW 01,1,2,0,0,50 cm,tgl. 19 MEI,0,0,0,0,0,0,0,0
Jakarta Timur,CIPAYUNG,CILANGKAP,"RW 02, 06",2,3,0,0,50 cm,tgl. 29 MEI,0,0,0,0,0,0,0,0
Jakarta Timur,CIRACAS,CIBUBUR,"RW 03, 10",2,7,0,0,50 cm,tgl. 06 MEI,0,0,0,0,0,0,0,0
Jakarta Timur,CIRACAS,CIRACAS,"RW 04, 05",2,3,0,0,50 cm,tgl. 06 MEI,0,0,0,0,0,0,0,0
Jakarta Timur,CIRACAS,RAMBUTAN,"RW 02, 03",2,3,0,0,30 s/d 50 cm,"tgl. 10, 18 MEI",0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,BIDARA CINA,"RW 07, 11",2,9,333,1370,30 s/d 180 cm,"tgl. 19, 21 MEI",0,0,0,0,24,1,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,"RW 04, 05, 06, 07, 08",5,27,392,1214,10 s/d 180 cm,"tgl. 18, 19, 21 MEI",0,0,0,0,61,3,0,0
Jakarta Timur,KRAMAT JATI,BALEKAMBANG,RW 05,1,3,0,0,40 s/d 100 cm,"tgl. 18, 19 MEI",0,0,0,0,128,2,0,0
Jakarta Timur,KRAMAT JATI,BATU AMPAR,RW 02,1,1,0,0,10 cm,tgl. 10 MEI,0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,CAWANG,"RW 01, 02, 03, 05, 08, 12",6,25,0,0,20 s/d 200 cm,"tgl. 19, 21 MEI",0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,CILILITAN,"RW 06, 07, 16",3,6,0,0,20 s/d 200 cm,"tgl. 19, 21 MEI",0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,TENGAH,RW 09,1,1,0,0,20 cm,tgl. 10 MEI,0,0,0,0,0,0,0,0
Jakarta Timur,MATRAMAN,KEBON MANGGIS,RW 04,1,3,0,0,20 cm,tgl. 19 MEI,0,0,0,0,0,0,0,0
Jakarta Timur,PASAR REBO,PEKAYON,"RW 02, 07",2,1,0,0,10 s/d 100 cm,tgl. 06 MEI,0,0,0,0,0,0,0,0
