kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Utara,Koja,Lagoa,"001, 002, 003, 004, 005, 006, 007",7,0,0,0,30 - 70,"23, 24, 25",3,0,0,0,0,300,9,0
Jakarta Utara,Koja,Rawabadak Selatan,6,1,0,0,0,0 - 60,"23, 24",2,0,0,0,0,0,9,0
Jakarta Utara,Koja,Rawabadak Utara,"001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013,  014, 015",15,0,0,0,15 - 30,"23, 24",3,0,0,0,0,0,9,0
Jakarta Utara,Koja,Tugu Selatan,"001, 002, 003, 004, 005, 006, 007",7,0,0,0,80 - 90,"23, 24, 25",3,0,0,0,0,1131,9,0
Jakarta Utara,Koja,Tugu Utara,"003, 004, 019",3,0,0,0,80 - 90,"23, 24, 25",3,0,0,0,0,320,9,0
Jakarta Utara,Pademangan,Ancol,"001, 002, 004, 005, 008, 010, 011",7,0,0,0, 10 - 20,"23, 24",2,0,0,0,0,0,0,0
Jakarta Utara,Penjaringan,Kapuk Muara,"001, 002, 003, 004, 005",5,0,0,0,20 - 30,"23, 24",2,0,0,0,0,0,0,0
Jakarta Utara,Tanjung Priok,Kebon Bawang,"001, 002, 003, 004, 005, 006, 007",7,0,0,0,30 - 70,"23, 24",2,0,0,0,0,0,0,0
Jakarta Utara,Tanjung Priok,Papango,"005, 006",2,0,0,0,20 - 50,"23, 24",2,0,0,0,0,0,0,0
Jakarta Utara,Tanjung Priok,Sunter Agung,"002, 005, 006, 007, 008, 009, 011, 012, 013, 015, 017, 018, 019",13,0,0,0,50 - 60,"23, 24",2,0,0,0,0,0,0,0
Jakarta Utara,Tanjung Priok,Tanjung Priuk,"001, 007, 013, 014, 015",5,0,0,0,0 - 40,"23, 24",2,0,0,0,0,0,0,0
Jakarta Utara,Tanjung Priok,Warakas,"001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013,  014",14,0,0,0,50 - 85,"23, 24",2,0,0,0,0,0,0,0
