kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Selatan,Kebayoran Baru,Cipete Utara,"002, 006, 007",3,5,0,0, 30 - 40 ,12,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,Petogogan,2,1,15,421,1685, 20 - 60 ,12,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,Rawa Barat,"002, 005",2,2,0,0, 15 - 20 ,12,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Cipulir,10,1,2,0,0, 10 - 80,"03, 12, 30, 31",4,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,"001, 005, 008",3,7,0,0, 20 - 25 ,"03, 20, 30",3,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Rawajati,5,1,5,0,0, 10 - 20 ,20,1,0,0,0,0,0,0,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,"007, 008",2,2,0,0, 10 - 15 ,2,1,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Ulujami,5,1,3,38,152, 10 - 40 ,"03, 12, 20, 30",4,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Bukit Duri,10,1,1,101,378, 10 - 15 ,"02, 30",2,0,0,0,0,0,0,0
Jakarta Selatan,Tebet,Kebon Baru,10,1,3,0,0, 10 - 20 ,"02, 03, 30",3,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Bidara Cina,"007, 011",2,2,0,0, 10 - 20 ,"19, 20, 30",3,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 007, 008",7,26,460,1636, 40 - 70 ,"02, 03, 19, 20, 30",5,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Cawang,2,1,2,0,0, 10 - 20 ,"2, 30",2,0,0,0,0,0,0,0
