kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,Kebon Jeruk,Duri Kepa,"001, 007, 014",3,3,0,0,60,08,1,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,005,1,3,0,0,60 - 80,26,1,0,0,0,0,0,0,0
Jakarta Barat,Kedoya Selatan,Kembangan Selatan,009,1,5,0,0,  10 - 30 ,25,1,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Pondok Labu,007,1,1,0,0,30 - 70 ,25,1,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Lama,Cipulir,"009, 010",2,3,0,0,40 - 100,"08, 23, 25",3,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Ulujami,005,1,3,0,0,15 - 20,23,2,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Pengadengan,"001, 002",2,3,0,0,  10 - 20,25,1,0,0,0,0,0,0,0
Jakarta Selatan,Pancoran,Rawajati,"001, 003, 007",3,7,0,0,50 -70,25,1,0,0,0,0,0,0,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,005,1,1,0,0,30 - 60,25,1,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Bidara Cina,"007, 011",2,10,0,0,  5 - 20,"01, 25 ",2,0,0,0,0,0,0,0
Jakarta Timur,Duren Sawit,Pondok Kelapa,  008,1,1,30,100,30 - 50,09,1,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Cawang,"001, 002, 003, 005, 008",5,0,1386,5899,30 - 80 ,25,1,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Cililitan,"007, 011",2,6,80,272,20 - 200,25,1,0,0,0,0,0,0,0
Jakarta Timur,Kramat Jati,Dukuh,  002,1,1,0,0,30,7,1,0,0,0,0,0,0,0
