kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Utara,KEC. PENJARINGAN,KEL. PLUIT,22,1,1,0,0,2 s/d 15 cm,"tgl. 26, 29",0,0,0,0,0,0,0,0
Jakarta Utara,KEC. PENJARINGAN,KEL. KAMAL MUARA,4,1,5,0,0,5 s/d 10 cm,"tgl. 26, 27",0,0,0,0,0,0,0,0
Jakarta Barat,KEC. KALIDERES,KEL. KAMAL,1,1,2,0,0,5 s/d 30 cm,"tgl. 27, 28, 29",0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. PONDOK PINANG,5,1,4,0,0,10 s/d 20 cm,tgl. 09,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. PEJATEN TIMUR,"05, 06, 08",3,3,0,0,10 s/d 30 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. CILANDAK TIMUR,"03, 09",2,2,0,0,10 s/d 30 cm,tgl. 28,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. CILANDAK,KEL. GANDARIA SELATAN,"05, 07",2,4,0,0,60 s/d 70 cm,tgl. 28,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PESANGGRAHAN,KEL. ULUJAMI,1,1,1,825,4000,40 s/d 70 cm,tgl. 28,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. MAKASAR,KEL. CIPINANG MELAYU,"03, 04",2,10,560,1858,30 s/d 50 cm,tgl. 11,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. CIPINANG MUARA,13,1,3,60,240,60 s/d 80 cm,tgl. 11,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"04, 05, 07, 08",4,25,235,789,10 s/d 100 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. BIDARA CINA,"07, 11",2,5,168,710,20 s/d 60 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. CIRACAS,KEL. RAMBUTAN,5,1,1,0,0,10 s/d 30 cm,tgl. 11,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. KRAMAT JATI,KEL. CAWANG,"02, 03, 05, 08",4,2,0,0,10 s/d 50 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. CAKUNG,KEL. JATINEGARA,8,1,1,0,0,10 s/d 15 cm,tgl. 29,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. CAKUNG,KEL. RAWA TERATE,5,1,1,0,0,5 s/d 20 cm,tgl. 29,0,0,0,0,0,0,0,0
