kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Selatan,KEC. TEBET,KEL. KEBON BARU,10,1,2,0,0,10 s/d 30 cm,tgl. 09 Oktober,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. PEJATEN TIMUR,"05, 06, 07, 08",4,6,0,0,60 s/d 100 cm,tgl. 09 Oktober,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PANCORAN,KEL. PENGADEGAN,1,1,1,0,0,30 cm,tgl. 09 Oktober,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"04, 05, 06, 07, 08",5,22,318,1034,10 s/d 60 cm,tgl. 09 Oktober,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. BIDARA CINA,"07, 11",2,4,73,169,20 s/d 40 cm,tgl. 09 Oktober,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. MAKASAR,KEL. BALEKAMBANG,5,1,2,0,0,10 s/d 40 cm,tgl. 09 Oktober,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. MAKASAR,KEL. CAWANG,"03, 05",2,5,0,0,30 s/d 100 cm,tgl. 09 Oktober,0,0,0,0,0,0,0,0
