kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Selatan,KEC. JAGAKARSA,KEL. JAGAKARSA,"03, 02",2,4,0,0,10 s/d 30 cm,"tgl.  30 April, 04 Mei",0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. PEJATEN TIMUR,"05, 06, 07, 08",4,6,150,355,20 s/d 40 cm,tgl. 06,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. CIPULIR,10,1,1,0,0,10 s/d 20 cm,tgl. 30 April,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. PONDOK PINANG,5,1,1,0,0,10 s/d 30 cm,tgl. 30 April,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"04, 05, 07",3,5,0,0,5 s/d 20 cm,"tgl. 06, 16",0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. BIDARA CINA,"07, 11",2,4,0,0,20 s/d 30 cm,"tgl. 06, 16",0,0,0,0,0,0,0,0
Jakarta Timur,KEC. MAKASAR,KEL. CIPINANG MELAYU,"03, 04",2,11,0,0,20 s/d 100 cm,tgl. 30 April,0,0,0,0,0,0,0,0
