kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Pusat,JOHAR BARU,JOHAR BARU,"RW 01, 02, 06, 08",4,4,35,140,10 s/d 30 cm,tgl. 01 Januari,0,0,0,0,140,1,0,0
Jakarta Pusat,KEMAYORAN,GUNUNG SAHARI SELATAN,"RW 01, 02, 07, 08",4,4,0,0,10 s/d 70 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
Jakarta Pusat,KEMAYORAN,SERDANG,"RW 01, 02, 06, 07",4,4,0,0,10 s/d 30 cm,tgl. 01 Januari,1,0,0,0,0,0,0,0
Jakarta Pusat,SAWAH BESAR,PASAR BARU,"RW 02, 03, 04, 05, 06, 07, 08",7,7,155,625,10 s/d 70 cm,tgl. 01 Januari,0,0,0,0,625,5,0,0
Jakarta Pusat,TANAH ABANG,BENDUNGAN HILIR,"RW 07, 09",2,2,52,195,31 s/d 70 cm,tgl. 01 Januari,0,0,0,0,195,6,0,0
Jakarta Pusat,TANAH ABANG,KARET TENGSIN,"RW 02, 03, 04, 05, 06, 07, 09, 11",8,31,535,2078,71 s/d 150 cm,tgl. 01 Januari,0,0,0,0,2078,8,0,0
Jakarta Pusat,TANAH ABANG,PETAMBURAN,"RW 02, 03",2,2,0,0,40 s/d 60 cm,tgl. 18 Januari ,1,0,0,0,0,0,0,0
Jakarta Utara,CILINCING,CILINCING,"RW 05, 06, 09",3,21,280,1121,10 s/d 35 cm,tgl. 01 Januari,0,0,0,0,1121,14,0,0
Jakarta Utara,CILINCING,MARUNDA,RW 04,1,1,0,0,10 s/d 30 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
Jakarta Utara,CILINCING,ROROTAN,"RW 01, 02, 03, 04, 05",5,5,36,150,10 s/d 150 cm,"tgl. 01, 24 Januari",1,0,0,0,338,3,0,0
Jakarta Utara,CILINCING,SEMPER BARAT,"RW 01, 02, 04, 05, 16",5,5,143,574,10 s/d 70 cm,tgl. 01 Januari,0,0,0,0,574,7,0,0
Jakarta Utara,CILINCING,SEMPER TIMUR,"RW 02, 03, 10, 11",4,6,30,120,10 s/d 150 cm,tgl. 01 Januari,0,0,0,0,120,4,0,0
Jakarta Utara,CILINCING,SUKA PURA,"RW 02, 03, 04, 05, 06, 07, 09, 10, 12",9,9,70,278,10 s/d 150 cm,tgl. 01 Januari,0,0,0,0,278,2,0,0
Jakarta Utara,KELAPA GADING,KELAPA GADING BARAT,"RW 02, 03, 06, 11, 12",5,5,0,0,10 s/d 30 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
Jakarta Utara,KELAPA GADING,KELAPA GADING TIMUR,"RW 15, 16",2,2,25,100,10 s/d 30 cm,tgl. 01 Januari,0,0,0,0,100,2,0,0
Jakarta Utara,KELAPA GADING,PEGANGSAAN DUA,"RW 02, 03, 04, 08, 09, 10, 11",7,7,52,210,10 s/d 70 cm,tgl. 01 Januari,0,0,0,0,210,3,0,0
Jakarta Utara,KOJA,TUGU SELATAN,RW. 04,1,1,0,0,20 s/d 50 cm,tgl. 01 Januari ,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,KAPUK MUARA,"RW. 01, 02, 03, 04, 05, 09",6,6,0,0,20 s/d 40 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PEJAGALAN,"RW 08, 09, 10, 12, 13, 14, 15",7,7,292,1168,10 s/d 150 cm,tgl. 01 Januari,0,0,0,0,1168,10,0,0
Jakarta Utara,PENJARINGAN,PENJARINGAN,RW 17,1,1,0,0,10 s/d 30 cm,tgl. 01 Januari,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PLUIT,"RW 01, 11, 22",3,3,0,0,15 s/d 70 cm,"tgl. 24, 27, 28, 30, 31  Januari",0,0,0,0,0,0,0,0
Jakarta Utara,PADEMANGAN,ANCOL,"RW 02, 05, 08, 10",4,4,0,0,10 s/d 30 cm,tgl. 24 Januari,0,0,0,0,0,0,0,0
Jakarta Barat,CENGKARENG,CENGKARENG BARAT,"RW 01, 03, 05, 06, 07, 09, 10, 11, 14",9,9,550,2220,31 s/d 70 cm,"tgl. 01, 24 Januari",0,0,0,0,2220,20,0,0
Jakarta Barat,CENGKARENG,CENGKARENG TIMUR,"RW 02, 03, 04, 05, 06, 12, 13, 14, 16",9,9,90,362,10 s/d 70 cm,tgl. 01 Januari,1,0,0,0,362,6,0,0
Jakarta Barat,CENGKARENG,DURI KOSAMBI,"RW 01, 02, 03, 04, 05, 06, 07,08, 09, 10, 11, 12, 13, 14, 15",15,15,307,1230,71 s/d 150 cm,tgl. 01 Januari,1,0,0,0,1230,8,0,0
Jakarta Barat,CENGKARENG,KAPUK,"RW 02, 03, 04, 05, 06, 07, 08, 09, 10, 12, 13, 15 ,16",13,13,1115,4461,31 s/d 70 cm,"tgl. 01, 24 Januari",1,0,0,0,4461,9,0,0
Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,"RW 01, 02, 03, 04, 05, 06, 07, 08",8,8,701,2804,31 s/d 70 cm,tgl. 01 Januari,0,0,0,0,2804,31,0,0
