kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,Grogol Petamburan,Wijaya Kesuma,  009,1,1,0,0,  10 - 100 ,"19, 20",2,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,"003, 005",2,7,0,0,30,20,1,0,0,0,0,0,0,0
Jakarta Barat,Kembangan,Kembangan Utara,  001,1,0,13,94,50 - 60 ,28,1,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Cipete Selatan,"001, 007",2,3,0,0,  10 - 60 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Gandaria Selatan,"006, 007",2,5,0,0,  10 - 100 ,"19, 20, 27, 28",4,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Pondok Labu,"001, 002, 003, 006, 007, 010",6,47,7170,21514,20 - 80 ,"19, 20, 27, 28",4,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,Kramat Pela,  009,1,0,0,0,  10 - 30 ,"19, 20",2,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,Petogogan,"001, 002, 003",3,40,3368,10108,30 - 100 ,"27, 28",2,0,0,0,0,8,0,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,"005, 008",2,7,0,5,  10 - 100 ,"19, 20",2,0,0,0,0,5,0,0
Jakarta Selatan,Mampang Prapatan,Bangka,  001,1,0,0,0,50 - 100 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,"001, 004, 006",3,8,0,0,  10 - 30 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Selatan,Mampang Prapatan,Pela Mampang,"004, 005, 006",3,0,0,0,30 - 50 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Selatan,Pasar Minggu,Jati Padang,"002, 004, 005, 006, 007, 009",6,10,0,140,  10 - 70 ,"19, 20, 27, 28",4,0,0,0,0,140,1,0
Jakarta Selatan,Pasar Minggu,Ragunan,"001, 002, 005, 008, 009",5,6,0,0,20 - 120 ,"19, 20, 27, 28",4,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Pesanggrahan,  005,1,9,0,0,50,"27, 28",2,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Ulujami,"003, 005",2,4,0,0,  10 - 50 ,"19, 20, 27, 28",4,0,0,0,0,0,0,0
Jakarta Timur,Ciracas,Cibubur,"002, 003, 004",3,5,0,0,  10 - 75 ,"19, 20",2,0,0,0,0,0,0,0
Jakarta Timur,Ciracas,Ciracas,"002, 003, 004, 005, 006, 008, 009, 010",8,22,0,0,20 - 70 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Timur,Ciracas,Kelapa Dua Wetan,"002, 008",2,4,20,60,20 - 80 ,"27, 28, 29, 30, 31",5,0,0,0,0,0,0,0
Jakarta Timur,Ciracas,Rambutan,"001, 002, 003, 005, 006",5,23,450,0,  10 - 100 ,"19, 20, 27, 28",4,0,0,0,0,45,3,0
Jakarta Timur,Kramat Jati,Dukuh,"003, 004",2,2,0,0,30 - 50 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Timur,Makasar,Halim Perdana Kusuma,"005, 007, 008",3,0,0,0,  10 - 50 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Timur,Makasar,Kebon Pala,"005, 009",2,3,0,0,  10 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Timur,Pasar Rebo,Cijantung,"001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011",11,21,0,0,20 - 80 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Timur,Pasar Rebo,Kalisari,"003, 004, 008, 011",4,13,650,0,30 - 100 ,"27, 28",2,0,0,0,0,0,0,0
Jakarta Timur,Pasar Rebo,Pekayon,  007,1,1,0,0,50 - 100 ,19,1,0,0,0,0,0,0,0
