kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Utara,PENJARINGAN,PLUIT,"RW 01, 02, 011, 016, 021, 022",6,26,30,120,10 s/d 120 cm,"tgl. 03, 04, 05, 06, 07, 09, 16 JUNI",0,0,0,0,120,2,0,0
Jakarta Utara,PENJARINGAN,PENJARINGAN,RW 017,1,1,0,0,10 s/d 60 cm,"tgl. 04, 06 JUNI",0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PEJAGALAN,"RW 07, 015, 016",3,8,0,0,5 s/d 60 cm,"tgl. 04, 05, 07 JUNI",0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,KAPUK MUARA,RW 01,1,3,0,0,5 s/d 10 cm,"tgl. 04, 07 JUNI",0,0,0,0,0,0,0,0
Jakarta Utara,CILINCING,MARUNDA,"RW 01, 02, 07",3,5,0,0,10 s/d 40 cm,"tgl. 03, 04, 05 JUNI",0,0,0,0,0,0,0,0
Jakarta Utara,PADEMANGAN,ANCOL,RW 08,1,1,50,200,30 s/d 50 cm,"tgl. 04, 05 JUNI",0,0,0,0,200,5,0,0
Jakarta Barat,CENGKARENG,KAPUK,"RW 05, 07, 08, 010, 012, 016",6,11,0,0,5 s/d 30 cm,"tgl. 03, 04, 05 JUNI",0,0,0,0,0,0,0,0
Jakarta Barat,KALIDERES,TEGAL ALUR,"RW 01, 09",2,4,0,0,10 s/d 50 cm,"tgl. 03, 05 JUNI",0,0,0,0,0,0,0,0
Jakarta Barat,GROGOL PETAMBURAN,JELAMBAR BARU,RW 06,1,1,0,0,5 s/d 10 cm,tgl. 04 JUNI,0,0,0,0,0,0,0,0
Jakarta Barat,KEBON JERUK,KEDOYA UTARA,RW 02,1,1,0,0,40 cm,tgl. 04 JUNI,0,0,0,0,0,0,0,0
Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,PULAU PARI,"RW 01, 02, 03, 04",4,4,0,0,10 s/d 50 cm,"tgl. 03, 04, 05 JUNI",0,0,0,0,0,0,0,0
Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,"RW 01, 02, 03",3,3,0,0,10 s/d 45 cm,"tgl. 03, 04 JUNI",0,0,0,0,0,0,0,0
Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,"RW 02, 03",2,2,0,0,30 s/d 50 cm,tgl. 04 JUNI,0,0,0,0,0,0,0,0
Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,"RW 01, 02, 03, 04, 05",5,18,0,0,10 s/d 40 cm,"tgl. 03, 04, 05, 06 JUNI",0,0,0,0,0,0,0,0
Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU KELAPA,"RW 01, 02, 03, 05",4,4,0,0,10 s/d 45 cm,"tgl. 03, 06 JUNI",0,0,0,0,0,0,0,0
Kepulauan Seribu,KEPULAUAN SERIBU UTARA,PULAU HARAPAN ,"RW 01, 02, 03",3,5,0,0,5 s/d 20 cm,"tgl. 03, 04, 05, 06 JUNI",0,0,0,0,0,0,0,0
