kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,KEBON JERUK,KEDOYA UTARA,RW : 002,1,1,0,0,20 cm,2020-12-07,0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,SRENGSENG,RW : 008,1,1,0,0,25 cm,2020-12-31,0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,SRENGSENG,0,0,1,0,0,30 cm,2020-12-31,0,0,0,0,0,0,0,0
Jakarta Barat,KEMBANGAN,SRENGSENG,0,0,1,0,0,30 cm,2020-12-31,0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,RW : 005,1,1,25,70,40 cm,2020-12-06,0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,RW : 006,1,1,20,80,10 cm,2020-12-06,0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,RW : 007,1,1,0,0,30 cm,2020-12-06,0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,RW : 008,1,1,30,90,30 cm,2020-12-06,0,0,0,0,0,0,0,0
Jakarta Timur,PASAR REBO,GEDONG,RW : 012,1,1,0,0,15 cm,2020-12-06,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW : 004,1,1,17,51,10 s/d 80 cm,2020-12-06,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,19,66,10 s/d 80 cm,2020-12-06,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW : 005,1,1,39,118,10 s/d 80 cm,2020-12-06,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,25,80,10 s/d 80 cm,2020-12-06,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW : 007,1,1,12,48,10 s/d 30 cm,2020-12-07,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,7,23,10 s/d 40 cm,2020-12-07,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,8,28,10 s/d 40 cm,2020-12-07,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,9,31,10 s/d 40 cm,2020-12-07,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,15,53,10 s/d 50 cm,2020-12-07,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,7,21,10 s/d 30 cm,2020-12-07,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,6,19,10 s/d 30 cm,2020-12-07,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,RW : 008,1,1,12,36,10 s/d 50 cm,2020-12-06,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,3,12,10 s/d 25 cm,2020-12-07,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,7,22,10 s/d 40 cm,2020-12-07,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,14,46,10 s/d 50 cm,2020-12-06,0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,0,0,1,16,54,10 s/d 50 cm,2020-12-06,0,0,0,0,0,0,0,0
