kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Utara,PENJARINGAN,KAPUK MUARA,RW : 001,1,1,0,0,15 s/d 30 cm,"16, 18 November 2020",0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,KAPUK MUARA,0,0,1,0,0,20 s/d 30 cm,2020-11-16,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,KAPUK MUARA,0,0,1,0,0,20 s/d 30 cm,2020-11-16,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,KAPUK MUARA,0,0,1,0,0,10 cm,2020-11-17,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PENJARINGAN,RW : 017,1,1,0,0,20 cm,2020-11-17,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PENJARINGAN,0,0,1,0,0,30 s/d 40 cm,2020-11-17,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PENJARINGAN,RW : 07,1,1,0,0,10 cm,2020-11-24,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PLUIT,RW : 022,1,1,0,0,10 s/d 15 cm,2020-11-17,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PLUIT,0,0,1,0,0,10 s/d 15 cm,2020-11-17,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PLUIT,0,0,1,0,0,10 s/d 15 cm,2020-11-17,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PLUIT,0,0,1,0,0,10 s/d 15 cm,2020-11-17,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PLUIT,0,0,1,0,0,10 s/d 15 cm,2020-11-17,0,0,0,0,0,0,0,0
