kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,KEC. KEBON JERUK,KEL. SUKABUMI SELATAN,RW. 04,1,1,0,0,10 s/d 70 cm,tgl. 9,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. MAMPANG PRAPATAN,KEL.  BANGKA,"RW. 02, 03, 04",3,4,0,0,20 s/d 80 cm,"tgl. 9, 19",0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PANCORAN,KEL. PANCORAN,RW. 04,1,1,0,0,70 s/d 100 cm,tgl. 9,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. CILANDAK,KEL. PONDOK LABU,"RW. 01, 02, 07, 09, 10",5,9,0,0,40 s/d 70 cm,"tgl, 18",0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. JATI PADANG,"RW. 02, 03, 06",3,6,15,0,10 s/d 60 cm,"tgl. 19, 20, 23",0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL.CILANDAK TIMUR,"RW. 01, 03, 04",3,5,0,0,20 s/d 105 cm,tgl. 19,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. KEBAYORAN BARU,KEL. CIPETE UTARA,RW. 06,1,3,0,0,50 cm,tgl. 19,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. KEBAYORAN BARU,KEL. PETOGOGAN,"RW. 01, 02, 03",3,30,0,0,20 s/d 70 cm,tgl. 19,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"RW 04, 05",2,7,0,0,30 s/d 50 cm,tgl. 8,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. CIPINANG MUARA,RW. 13,1,3,0,0,20 s/d 40 cm,tgl. 19,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. MAKASAR,KEL. CIPINANG MELAYU,"RW. 03, 04",2,11,0,0,20 s/d 45 cm,tgl. 19,0,0,0,0,0,0,0,0
