kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Pusat,KEC. SAWAH BESAR,KEL. GUNUNG SAHARI UTARA,1,1,3,0,0,10 s/d 40 cm,tgl. 29,0,0,0,0,0,0,0,0
Jakarta Barat,KEC. CENGKARENG,KEL. RAWA BUAYA,"03, 11",2,3,0,0,20 S/D 30,tgl. 29,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,"04, 05",4,21,212,711,30 s/d 80 cm,"tgl. 23, 29",0,0,0,0,0,0,0,0
Jakarta Timur,KEC. JATINEGARA,KEL. BIDARA CINA,"07, 11",2,4,175,290,50 s/d 60 cm,tgl. 29,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. KRAMAT JATI,KEL. CAWANG,"01, 02, 03, 05",4,8,0,0,10 s/d 50 cm,tgl. 29,0,0,0,0,0,0,0,0
