kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,KALIDERES,KAMAL,"01, 04",2,6,0,0,20 s/d 30 cm,"tgl. 03, 04, 06, 20",0,0,0,0,0,0,0,0
Jakarta Barat,GROGOL PETAMBURAN,JELAMBAR BARU,"01,06, 07",3,2,0,0,10 s/d 20 cm,"tgl. 05, 06, 07, 09",0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,JATI PADANG,6,1,1,8,35,5 - 50 cm,"tgl. 01, 11, 16, 20",0,0,0,0,35,1,0,0
Jakarta Selatan,PANCORAN,KALIBATA,"05, 09, 10",3,3,0,0,20 s/d 30 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Selatan,SETIABUDI,KUNINGAN TIMUR,5,1,1,0,0,20 s/d 25 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,KEBON BARU,6,1,1,0,0,40 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,BUKIT DURI,"04, 06, 08",3,3,0,0,20 s/d 30 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,MANGGARAI,3,1,1,0,0,20 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Selatan,JAGAKARSA,JAGAKARSA,3,1,1,0,0,10 s/d 20 cm,tgl. 16,0,0,0,0,0,0,0,0
Jakarta Selatan,CILANDAK,PONDOK LABU,1,1,1,0,0,50 s/d 70 cm,tgl. 20,0,0,0,0,0,0,0,0
Jakarta Timur,MAKASAR,CIPINANG MELAYU,"RW. 03, 04",2,11,0,0,20 s/d 50 cm,"tgl. 11, 16, 17, 20",0,0,0,0,0,0,0,0
Jakarta Timur,JATINEGARA,CIPINANG MUARA,13,1,3,0,0,20 s/d 40 cm,tgl. 11,0,0,0,0,0,0,0,0
Jakarta Timur,CAKUNG,RAWA TERATE,5,1,1,0,0,20 s/d 40 cm,tgl. 11,0,0,0,0,0,0,0,0
Jakarta Timur,PASAR REBO,KALISARI,"03, 11",2,2,0,0,20 s/d 40 cm,tgl. 11,0,0,0,0,0,0,0,0
Jakarta Timur,KRAMAT JATI,CILILITAN,1,1,1,0,0,10 s/d 50 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,KAPUK MUARA,"01,",1,4,0,0,5 s/d 15 cm,"tgl. 03, 06",0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,KAMAL MUARA,"01, 04,",2,2,0,0,10 s/d 50 cm,"tgl. 03, 04, 05, 06, 07, 08",0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PENJARINGAN,"01, 02, 03, 17",4,4,0,0,5 s/d 30 cm,"tgl. 03, 05, 06",0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PLUIT,"01, 11, 20, 22",4,4,0,0,10 s/d 30 cm,"tgl. 04, 05, 06",0,0,0,0,0,0,0,0
Jakarta Utara,PENJARINGAN,PEJAGALAN,016,1,1,0,0,10 s/d 20 cm,tgl 05 ,0,0,0,0,0,0,0,0
Jakarta Utara,CILINCING,MARUNDA,"01, 02, 04 ,06, 07, 09",6,6,123,369,5 s/d 30 cm,"tgl. 04, 05, 06",0,0,0,0,0,0,0,0
Jakarta Utara,CILINCING,CILINCING,"06, 09",2,2,0,0,5 s/d 15 cm,tgl. 05,0,0,0,0,0,0,0,0
Jakarta Utara,PADEMANGAN,ANCOL,10,1,1,0,0,10 s/d 15 cm,tgl. 05,0,0,0,0,0,0,0,0
Jakarta Utara,TANJUNG PRIOK,SUNTER AGUNG,"03, 06, 08",3,3,0,0,05 s/d 15 cm,"tgl. 05, 06, 07",0,0,0,0,0,0,0,0
Jakarta Utara,KOJA,KOJA,11,1,1,0,0,10 s/d 15 cm,tgl. 05,0,0,0,0,0,0,0,0
Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,"02, 03",2,5,0,0,10 s/d 20 cm,tgl. 05,0,0,0,0,0,0,0,0
