kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,PENJARINGAN,KAMAL MUARA,"01, 04",2,12,0,0,20 s/d 30 cm,tgl. 02,0,0,0,0,0,0,0,0
Jakarta Utara,KALIDERES,KAMAL,"1, 4",2,3,0,0,10 s/d 25 cm,"tgl. 03, 04, 05, 18, 31",0,0,0,0,0,0,0,0
Jakarta Utara,GROGOL PETAMBURAN,JELAMBAR BARU,1,1,2,0,0,15 cm,tgl. 03,0,0,0,0,0,0,0,0
Jakarta Utara,GROGOL PETAMBURAN,JELAMBAR,7,1,1,0,0,20 cm,tgl. 03,0,0,0,0,0,0,0,0
Jakarta Utara,KEMBANGAN,KEMBANGAN UTARA,"3, 4, 5, 6",4,2,0,0,5 s/d 20 cm,tgl. 18,0,0,0,0,0,0,0,0
Jakarta Utara,CENGKARENG,KAPUK,"02, 05, 06, 07, 09, 12, 13, 15, 16",9,21,0,0,5 s/d 30 cm,tgl. 18,0,0,0,0,0,0,0,0
Jakarta Utara,CENGKARENG,RAWA BUAYA,"01, 02",2,1,0,0,15 s/d 20 cm ,tgl. 18,0,0,0,0,0,0,0,0
Jakarta Utara,CENGKARENG,CENGKARENG TIMUR,"03, 04, 12, 13",4,12,0,0,10 s/d 40 cm,tgl. 18,0,0,0,0,0,0,0,0
