kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Utara,KEC. PENJARINGAN,KEL. PLUIT,22,1,1,0,0,5 s/d 10 cm,"tgl. 4, 5, 7",0,0,0,0,0,0,0,0
Jakarta Utara,KEC. PENJARINGAN,KEL. KAMAL MUARA,4,1,3,0,0,3 s/d 10 cm,"tgl. 4, 5, 6, 7, 8, 11, 13",0,0,0,0,0,0,0,0
Jakarta Utara,KEC. PENJARINGAN,KEL. PENJARINGAN,17,1,0,0,0,5 s/d 10 cm,tgl. 07,0,0,0,0,0,0,0,0
Jakarta Barat,KEC. KALIDERES,KEL. KAMAL,1,1,3,0,0,6 s/d 10 cm,"tgl. 4, 5, 6, 11, 12",0,0,0,0,0,0,0,0
Jakarta Barat,KEC. CENGKARENG,KEL. RAWA BUAYA,"1, 2, 3, 4, 7, 8, 11",7,12,0,0,15 s/d 60 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Barat,KEC. CENGKARENG,KEL. CENGKARENG TIMUR,3,1,1,0,0,20 s/d 30 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Barat,KEC. CENGKARENG,KEL. DURI KOSAMBI,"4, 5, 6",3,6,34,77,10 s/d 40 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Barat,KEC. KEMBANGAN,KEL. KEMBANGAN UTARA,1,1,1,0,0,50 cm,tgl. 12,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. CILANDAK,KEL. CILANDAK BARAT,"02, 06",2,2,0,0,20 s/d 60 cm,tgl. 4,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. CILANDAK,KEL. PONDOK LABU,7,1,4,0,0,20 s/d 60 cm,tgl. 13,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PANCORAN,KEL. KALIBATA,9,1,5,0,0,30 cm,tgl. 10,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PANCORAN,KEL. DUREN TIGA,5,1,1,0,0,70 cm,tgl. 10,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. MAMPANG PRAPATAN,KEL. BANGKA,"02, 03, 04",3,5,0,0,50 s/d 80 cm,"tgl. 10, 13",0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. KEBAYORAN BARU,KEL. PETOGOGAN,"1, 2, 3, 5",4,27,0,0,10 s/d 40 cm,"tgl. 10, 12, 13",0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. KEBAYORAN BARU,KEL. CIPETE UTARA,6,1,1,0,0,20 s/d 40 cm,tgl. 13,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PASAR MINGGU,KEL. CILANDAK TIMUR,"1, 3",2,3,0,0,10 s/d 100 cm,tgl. 13,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. CIPULIR,10,1,2,0,0,30 s/d 80 cm,tgl. 13,0,0,0,0,0,0,0,0
Jakarta Selatan,KEC. PESANGGRAHAN,KEL. ULUJAMI,1,1,8,0,0,20 s/d 40 cm,tgl. 11,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. CAKUNG,KEL. RAWA TERATE,5,1,1,0,0,10 s/d 100 cm,tgl. 3,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. CAKUNG,KEL. CAKUNG TIMUR,9,1,4,210,800,20 cm,tgl. 3,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. MAKASAR,KEL. CIPINANG MELAYU,4,1,1,0,0,10 s/d 30 cm,tgl. 6,0,0,0,0,0,0,0,0
Jakarta Timur,KEC. CIRACAS,KEL. RAMBUTAN,"03, 05",2,4,0,0,10 s/d 50,tgl. 11,0,0,0,0,0,0,0,0
