kota_administrasi,kecamatan,kelurahan,rw,jumlah_rw,jumlah_rt,jumlah_kk,jumlah_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,5,1,3,0,0,20 - 40 ,"21, 22, 23",3,0,0,0,0,0,0,0
Jakarta Barat,Kebon Jeruk,Kedoya Utara,8,1,5,0,0,20 - 60 ,"21, 22, 23",3,0,0,0,0,0,0,0
Jakarta Pusat,Tanah Abang,Karet Tengsin,7,1,4,0,0,30 - 60 ,21,1,0,0,0,0,0,0,0
Jakarta Selatan,Cilandak,Pondok Labu,12,1,5,0,0,0 - 100 ,"21, 22, 23",3,0,0,0,0,0,0,0
Jakarta Selatan,Kebayoran Baru,Petogogan,"001, 002, 003",3,0,0,0,50 - 150 ,"21, 22, 23, 24",4,0,0,0,0,0,0,0
Jakarta Selatan,Pesanggrahan,Ulujami,5,1,3,0,0,0 - 50 ,"21, 22",2,0,0,0,0,0,0,0
Jakarta Selatan,Mampang Prapatan,Bangka,"002, 003, 004",3,8,0,420,30 - 200 ,"21, 22, 24",3,0,0,0,0,420,2,0
Jakarta Selatan,Tebet,Bukit Duri,"010, 012",2,5,0,0,30 - 200 ,"23, 24",2,0,0,0,0,0,0,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 006, 007, 008",8,47,2869,7699,30 - 200 ,"20, 21, 23,25",4,0,0,0,0,114,2,0
Jakarta Timur,Jatinegara,Cipinang Muara,13,1,0,0,0,20 - 60 ,"25, 26",2,0,0,0,0,0,0,0
Jakarta Timur,Makasar,Cipinang Melayu,"003, 004",2,0,0,0,30 - 80 ,"21, 22, 23, 25",4,0,0,0,0,288,1,0
Jakarta Timur,Makasar,Halim Perdana Kusuma,"005, 007, 008",3,0,0,0, 10 - 20,21,1,0,0,0,0,0,0,0
Jakarta Timur,Ciracas,Kampung Rambutan,3,1,0,0,0, 10 - 20,21,1,0,0,0,0,0,0,0
Jakarta Timur,Matraman,Palmeriam,1,1,0,0,0, 10 - 20,"25, 26",2,0,0,0,0,0,0,0
Jakarta Utara,Penjaringan,Pejagalan,15,1,1,0,0,50 - 60 ,21,1,0,0,0,0,0,0,0
